"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
684;1066930;"Maite Alberdi";"mujer";"tmdb";"CL";"tmdb_heuristico";""
685;1692673;"José Ángel Bohollo";"";"";"";"";""
686;3304976;"Pau Canivell";"hombre";"tmdb";"ES";"tmdb_heuristico";""
687;3829623;"Marcos Barrios";"";"";"";"";""
688;4033952;"Levi Star";"";"";"";"";""
689;51894;"J. A. Bayona";"hombre";"tmdb";"ES";"tmdb_heuristico";""
690;2942039;"Joan Vall Karsunke";"hombre";"tmdb";"ES";"tmdb_heuristico";""
691;5633278;"Laia Requesens";"";"";"";"";""
692;3561271;"Rosa Valiente";"";"";"";"";""
693;2516976;"Rodrigo Bazzano";"";"";"";"";""
694;1013002;"Rafael Gordon";"hombre";"wikidata";"ES";"wikidata";""
695;1274415;"Andrea Weiss";"mujer";"wikidata";"US";"wikidata";""
696;12733;"Ladislao Vajda";"hombre";"tmdb";"HU";"tmdb_heuristico";""
697;2006688;"Rosa Blas Traisac";"mujer";"tmdb";"";"";""
698;3827572;"Santi Aguado";"";"";"";"";""
699;4020640;"Sofía Urwitz";"";"";"";"";""
700;3763414;"José Luis Pecharromán";"";"";"";"";""
701;3550114;"Remedios Malvárez";"";"";"";"";""
702;3593301;"Arturo Andújar";"";"";"";"";""
703;4391;"Charles Dance";"hombre";"tmdb";"GB";"tmdb_heuristico";""
704;3525090;"Oscar Montón";"";"";"";"";""
705;1676574;"Melina León";"mujer";"tmdb";"PE";"wikidata";""
706;5305447;"Paula Veleiro";"";"";"";"";""
707;535744;"Luis César Amadori";"hombre";"tmdb";"IT";"tmdb_heuristico";""
708;86341;"Miguel Martí";"hombre";"tmdb";"";"";""
709;5696747;"David Rubira";"";"";"";"";""
710;618101;"Marc Recha";"hombre";"tmdb";"ES";"wikidata";""
711;5948879;"Marcos Zaván";"";"";"";"";""
712;584193;"Mariano Cohn";"hombre";"tmdb";"AR";"tmdb_heuristico";""
713;584191;"Gastón Duprat";"hombre";"tmdb";"AR";"tmdb_heuristico";""
714;1851555;"Pedro Peira";"hombre";"tmdb";"ES";"tmdb_heuristico";""
715;1463086;"Jordi Torrent";"hombre";"tmdb";"ES";"wikidata";""
716;97687;"Miguel del Arco";"hombre";"tmdb";"ES";"wikidata";""
717;1316775;"Rómulo Aguillaume";"hombre";"wikidata";"";"";""
718;5828279;"Carlos Pérez";"";"";"";"";""
719;19826;"Joel Joan";"hombre";"tmdb";"ES";"tmdb_heuristico";""
720;1114058;"Sergi Lara";"";"";"";"";""
721;580706;"Hugo Ruiz";"hombre";"tmdb";"SE";"tmdb_heuristico";""
722;1804047;"Lucas Nolla";"";"";"";"";""
723;2458084;"Mario Forniés";"";"";"";"";""
724;2072468;"Mariona Guiu";"";"";"";"";""
725;1022654;"José Antonio Quirós";"hombre";"wikidata";"ES";"wikidata";""
726;5786930;"Sebastián Galán";"";"";"";"";""
727;3235426;"Laura García Andreu";"";"";"";"";""
728;236226;"José Díaz Morales";"hombre";"tmdb";"ES";"tmdb_heuristico";""
729;4886267;"Beatriz Carretero";"";"";"";"";""
730;1065198;"Ricardo Íscar";"hombre";"tmdb";"ES";"tmdb_heuristico";""
731;5811893;"Carlos Navarro";"";"";"";"";""
732;2362940;"Jesús Garrido";"";"";"";"";""
733;1078616;"Salvador Simó";"hombre";"tmdb";"ES";"tmdb_heuristico";""
734;3000259;"Jianping Li";"";"";"";"";""
735;1026261;"Enrique Urbizu";"hombre";"tmdb";"ES";"tmdb_heuristico";""
736;25275;"Rodolfo Montero";"";"";"";"";""
737;5207258;"Miguel Ángel Sánchez";"";"";"";"";""
738;2718867;"Pedro Ballesteros";"";"";"";"";""
739;1536696;"Marija Kavtaradzė";"mujer";"tmdb";"LT";"tmdb_heuristico";""
740;2025434;"César Vallejo de Castro";"";"";"";"";""
