"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"Matria";"Avalon Distribución";"24/03/2023";224861.0;40173;2023;"";"Matria";""
"Extraña forma de vida";"Bteam Pictures";"26/05/2023";223909.0;48442;2023;"";"Extraña forma de vida";""
"Bajo terapia";"Syldavia";"17/03/2023";218473.0;35596;2023;"";"Bajo terapia";""
"Lobo Feroz";"Filmax";"27/01/2023";216346.0;35929;2023;"";"Lobo Feroz";""
"Una vida no tan simple";"A Contracorriente";"23/06/2023";207331.0;33735;2023;"";"Una vida no tan simple";""
"Creatura";"Avalon Distribución";"08/09/2023";203950.0;34865;2023;"";"Creatura";""
"Teresa";"Bteam Pictures";"24/11/2023";187262.0;30672;2023;"";"Teresa";""
"Ternura, La";"Universal";"29/09/2023";185613.0;39737;2023;"";"Ternura";"La"
"Inspector Sun y la maldición de la viuda negra";"TriPictures";"28/12/2022";164154.0;28901;2023;"";"Inspector Sun y la maldición de la viuda negra";""
"Dispararon al pianista";"Bteam Pictures";"06/10/2023";154093.0;25022;2023;"";"Dispararon al pianista";""
"Hombre del saco, El";"Filmax";"11/08/2023";149549.0;24217;2023;"";"Hombre del saco";"El"
"Voz del Sol, La";"Adso Films";"22/09/2023";146923.0;27732;2023;"";"Voz del Sol";"La"
"De Caperucita a Loba";"A Contracorriente";"05/04/2023";127570.0;20668;2023;"";"De Caperucita a Loba";""
"Asedio";"Sony";"05/05/2023";126364.0;23118;2023;"";"Asedio";""
"Els encantats (Los encantados)";"A Contracorriente";"02/06/2023";122311.0;19598;2023;"";"Els encantats (Los encantados)";""
"Empieza el baile";"Me Lo Creo";"05/04/2023";116082.0;18257;2023;"";"Empieza el baile";""
"Upon Entry (La llegada)";"Karma";"16/06/2023";113600.0;19115;2023;"";"Upon Entry (La llegada)";""
"Que nadie duerma";"Wanda";"17/11/2023";112397.0;18894;2023;"";"Que nadie duerma";""
"Cel de Plom, Un";"Filmax";"28/04/2023";105109.0;17304;2023;"";"Cel de Plom, Un";""
"Sirvienta, La";"Proyecfilm";"24/03/2023";104304.0;17916;2023;"";"Sirvienta";"La"
"Buenas compañías, Las";"Filmax";"05/05/2023";104053.0;19808;2023;"";"Buenas compañías";"Las"
"Tin&Tina";"Filmax";"31/03/2023";103392.0;15578;2023;"";"Tin&Tina";""
"Fred que Crema, El";"Filmax";"20/01/2023";91656.0;14267;2023;"";"Fred que Crema";"El"
"Novia de America, La";"A Contracorriente";"17/02/2023";86225.0;13995;2023;"";"Novia de America";"La"
"Ermita, La";"Filmax";"17/11/2023";75963.0;12359;2023;"";"Ermita";"La"
"Momonsters la pelicula";"Notorious Pictures Spain";"06/12/2023";73286.0;11971;2023;"";"Momonsters la pelicula";""
"Loli Tormenta";"Caramel Films";"31/03/2023";71618.0;12040;2023;"";"Loli Tormenta";""
"Amigos hasta la muerte";"A Contracorriente";"22/09/2023";57314.0;10238;2023;"";"Amigos hasta la muerte";""
"Manticora";"Bteam Pictures";"09/12/2022";53453.0;9494;2023;"";"Manticora";""
"Esperando a Dalí";"Alfa Pictures";"14/07/2023";53344.0;8828;2023;"";"Esperando a Dalí";""
"Hanna y los monstruos";"Alfa Pictures";"21/04/2023";51302.0;8712;2023;"";"Hanna y los monstruos";""
"Amor de Andrea, El";"Filmax";"24/11/2023";49724.0;8610;2023;"";"Amor de Andrea";"El"
"Secaderos";"Begin Again Films";"02/06/2023";49635.0;11111;2023;"";"Secaderos";""
"Cinco lobitos";"Bteam Pictures";"20/05/2022";47277.0;9795;2023;"";"Cinco lobitos";""
"Alcarras";"Avalon Distribución";"29/04/2022";46757.0;12159;2023;"";"Alcarras";""
"Cuarto pasajero, El";"Sony";"28/10/2022";46678.0;7615;2023;"";"Cuarto pasajero";"El"
"Eterna";"39 Escalones";"02/03/2023";45039.0;7177;2023;"";"Eterna";""
"Si todas las puertas se cierran";"Proyecfilm";"14/04/2023";44786.0;7788;2023;"";"Si todas las puertas se cierran";""
"Desconocida, La";"Filmax";"09/06/2023";43823.0;7018;2023;"";"Desconocida";"La"
"Samsara";"Atalante";"20/12/2023";40227.0;6738;2023;"";"Samsara";""
"Erase una vez en Canarias";"Nekkenti";"22/09/2023";40147.0;7702;2023;"";"Erase una vez en Canarias";""
"Manzana de Oro, La";"A Contracorriente";"01/09/2023";39748.0;7004;2023;"";"Manzana de Oro";"La"
"Alguien que cuide de mi";"A Contracorriente";"28/04/2023";38511.0;6442;2023;"";"Alguien que cuide de mi";""
"Olvido";"La Dalia Films";"29/06/2023";37743.0;6570;2023;"";"Olvido";""
"Iberia, naturaleza infinita";"Acaju";"17/03/2023";35994.0;6337;2023;"";"Iberia, naturaleza infinita";""
"Todos lo hacen";"A Contracorriente";"28/12/2022";35047.0;6294;2023;"";"Todos lo hacen";""
"Sobre todo de noche";"Atalante";"01/12/2023";34595.0;5817;2023;"";"Sobre todo de noche";""
